model,code,color,category,price,weight
Miss Pearline Ratke,9277123689448,blue,Movies,51.57,34.675
Pansy Adams III,0851392487883,plum,Movies,93.69,12.899
Dessie Schulist,0497616851216,mint green,Movies,86.0,32.130
Javonte Considine,9176546883399,sky blue,Movies,0.89,27.623
Caleigh Altenwerth,9095668156207,azure,Movies,8.36,53.163
Kaleb Kuhic PhD,3624281840833,cyan,Movies,98.4,63.474
Miss Hulda Gibson,3406444441619,orange,Movies,62.04,94.927
Deon Waters,7506690940884,silver,Movies,89.88,81.278
Guadalupe VonRueden Jr.,2580819750740,yellow,Movies,89.54,88.507
Beulah Upton,4046484450142,turquoise,Movies,30.48,88.418
Brandon Kuhlman,0686680394150,magenta,Movies,77.07,57.220
Gaetano Labadie,4479338716413,lime,Movies,94.51,35.714
Elnora Wisoky,2717990129892,yellow,Movies,47.41,37.753
Tianna Shanahan,8222928360345,blue,Movies,4.99,21.361
Billy Klocko,7889975028362,yellow,Movies,30.03,81.551
Jody Boyle,0889310070473,purple,Movies,39.52,05.796
Lenore Grady,3196393722739,gold,Movies,96.07,71.727
Mr. Ulices Ferry,6418448346309,white,Movies,41.6,43.643
Mr. Alessandra Terry,0144188097831,pink,Movies,55.41,91.361
